latitude,longitude
50.449891,30.52377
50.44969812612613,30.523500627627627
50.449576174174176,30.52334046246246
50.44946510810811,30.523205189189188
50.44934573273273,30.523069456456458
50.44922905705705,30.522949471471474
50.44913546846847,30.522860765765767
50.4489952012012,30.522736528528526
50.44884504504505,30.522613465465465
50.44869205405406,30.522498864864865
50.4485362012012,30.5223926996997
50.44837832132132,30.522296669669668
50.44821814414414,30.52221136036036
50.4480555045045,30.522134837837836
50.44788720720721,30.52206592192192
50.44774515315315,30.52201364864865
50.4476856996997,30.521993615615614
50.44728693093093,30.521862591591592
50.447099621621625,30.52180162162162
50.44687088888889,30.521726117117115
50.44640207807808,30.52157159159159
50.44562445945946,30.521316756756754
50.44498724324325,30.521106792792793
50.444829462462465,30.521054726726728
50.4448156036036,30.520927594594593
50.444867915915914,30.52060328828829
50.444941888888884,30.520147507507506
50.444972,30.519966027027028
50.444989522522526,30.51985693093093
50.445023429429426,30.51965002102102
50.44505791891892,30.51943775675676
50.44509862762763,30.51918618018018
50.44516903603604,30.518756195195195
50.44524716216216,30.518276045045045
50.44532327927928,30.51821577777778
50.44536705405405,30.518232834834834
50.445397054054055,30.51824454054054
50.44546455555556,30.518272
50.44568103003003,30.51835989189189
50.44574827927928,30.51838720720721
50.445896507507506,30.5184475975976
50.44601106006006,30.5184942972973
50.44607022522522,30.518518378378378
50.44627449249249,30.51860138738739
50.44640928828829,30.518656123123122
50.446552270270274,30.518714378378377
50.44679635135135,30.518813846846847
50.447039207207204,30.518912234234232
50.44710495495496,30.51893745945946
50.44740118318318,30.519059531531532
50.44768566966967,30.51917538738739
50.44794384684685,30.51928054954955
50.448114600600604,30.519344501501504
50.44816220720721,30.519357417417417
50.44815732432433,30.519390783783784
50.44815092192192,30.519436306306307
50.44810827627628,30.51971327027027
50.44807683783784,30.5199151981982
50.44806473873874,30.5199917987988
50.44802390990991,30.52025757057057
50.44801902702702,30.520288495495496
50.44800643243243,30.52037275975976
50.447974438438436,30.52057941141141
50.44792210810811,30.520920756756755
50.44786283183183,30.521318345345346
50.44786120420421,30.521331366366365
50.447806909909914,30.521695972972974
50.447770810810816,30.521934966966967
50.447749855855854,30.52207297297297
50.447762027027025,30.522191333333332
50.44791095495495,30.522251555555556
50.44799507807808,30.52228757357357
50.44807705405405,30.522324945945947
50.44819845645646,30.522386474474477
50.44835811111111,30.522474444444445
50.448512603603604,30.52256937837838
50.44859398498498,30.52262309009009
50.448735096096094,30.522722594594594
50.44889592792793,30.522846306306306
50.44905326726727,30.522979771771773
50.44919208408409,30.523110294294295
50.44930113513514,30.52322097297297
50.449361093093096,30.52328842042042
50.449421084084086,30.52335327027027
50.44948518918919,30.523425675675675
50.44955023723724,30.523506939939942
50.44961208708709,30.523590762762762
50.450072432432435,30.52421900900901
50.45029188588589,30.52451743843844
50.45061866366366,30.52496857957958
50.450997108108105,30.525493513513513
50.451104588588585,30.5256424984985
50.45121282582583,30.52579224024024
50.451379945945945,30.526024828828827
50.45165438138138,30.526405642642644
50.451866933933935,30.52671636036036
50.45188075675676,30.52677517117117
50.45188563963964,30.526808537537537
50.45188750750751,30.52684115015015
50.451836918918914,30.52747816216216
50.451768633633634,30.528019309309308
50.45170577477477,30.52814678978979
50.45164214414414,30.528250009009007
